id,raceId,sexId,baseSection,variationIndex,colorIndex,textureName_1,textureName_2,textureName_3,flags
1,1,0,0,0,0,"Character\Human\Male\HumanMaleSkin00_00.blp","","",0
2,1,0,0,0,1,"Character\Human\Male\HumanMaleSkin00_01.blp","","",0
3,1,0,0,0,2,"Character\Human\Male\HumanMaleSkin00_02.blp","","",0
4,1,0,0,0,3,"Character\Human\Male\HumanMaleSkin00_03.blp","","",0
5,1,0,0,0,4,"Character\Human\Male\HumanMaleSkin00_04.blp","","",0
6,1,0,0,0,5,"Character\Human\Male\HumanMaleSkin00_05.blp","","",0
7,1,0,0,0,6,"Character\Human\Male\HumanMaleSkin00_06.blp","","",0
8,1,0,0,0,7,"Character\Human\Male\HumanMaleSkin00_07.blp","","",0
9,1,0,0,0,8,"Character\Human\Male\HumanMaleSkin00_08.blp","","",0
10,1,0,0,0,9,"Character\Human\Male\HumanMaleSkin00_09.blp","","",0
11,1,0,0,0,0,"Character\Human\Male\HumanMaleSkin00_100.blp","","",1
12,1,0,0,0,1,"Character\Human\Male\HumanMaleSkin00_101.blp","","",1
13,1,0,0,0,2,"Character\Human\Male\HumanMaleSkin00_102.blp","","",1
14,1,0,0,0,3,"Character\Human\Male\blue necro.blp","","",1
15,1,0,0,0,4,"Character\Human\Male\greennecromancer.blp","","",1
16,1,0,0,0,5,"Character\Human\Male\rednecormacer.blp","","",1
17,1,0,0,0,6,"Character\Human\Male\HumanMale_Magic.blp","","",1
18,1,0,0,0,7,"Character\Human\Male\HumanMale_Pirate.blp","","",1
19,1,0,1,0,0,"Character\Human\Male\HumanMaleFaceLower00_00.blp","Character\Human\Male\HumanMaleFaceUpper00_00.blp","",0
20,1,0,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_01.blp","Character\Human\Male\HumanMaleFaceUpper00_01.blp","",0
21,1,0,1,0,2,"Character\Human\Male\HumanMaleFaceLower00_02.blp","Character\Human\Male\HumanMaleFaceUpper00_02.blp","",0
22,1,0,1,0,3,"Character\Human\Male\HumanMaleFaceLower00_03.blp","Character\Human\Male\HumanMaleFaceUpper00_03.blp","",0
23,1,0,1,0,4,"Character\Human\Male\HumanMaleFaceLower00_04.blp","Character\Human\Male\HumanMaleFaceUpper00_04.blp","",0
24,1,0,1,0,5,"Character\Human\Male\HumanMaleFaceLower00_05.blp","Character\Human\Male\HumanMaleFaceUpper00_05.blp","",0
25,1,0,1,0,6,"Character\Human\Male\HumanMaleFaceLower00_06.blp","Character\Human\Male\HumanMaleFaceUpper00_06.blp","",0
26,1,0,1,0,7,"Character\Human\Male\HumanMaleFaceLower00_07.blp","Character\Human\Male\HumanMaleFaceUpper00_07.blp","",0
27,1,0,1,0,8,"Character\Human\Male\HumanMaleFaceLower00_08.blp","Character\Human\Male\HumanMaleFaceUpper00_08.blp","",0
28,1,0,1,0,9,"Character\Human\Male\HumanMaleFaceLower00_09.blp","Character\Human\Male\HumanMaleFaceUpper00_09.blp","",0
29,1,0,1,1,0,"Character\Human\Male\HumanMaleFaceLower01_00.blp","Character\Human\Male\HumanMaleFaceUpper01_00.blp","",0
